# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
ASE	MOROZOV	Airstars	Russia
ASG	AFRICAN STAR	African Star Airways (PTY) Ltd.	South Africa
ASH	AIR SHUTTLE	Mesa Airlines	United States
ASJ	SATELLITE	Air Satellite	Canada
ASK	AIR SASK	La Ronge Aviation Services	Canada
ASL	AIR SERBIA	Air Serbia	Serbia
ASM	AWESOME	Awesome Flight Services (PTY) Ltd.	South Africa
ASO	AERO NITRA	Aero Slovakia	Slovakia
ASP	AIRSPRINT	Airsprint	Canada
ASQ	ACEY	Atlantic Southeast Airlines	United States
AST	AEROESTE	Aerlineas Del Oeste	Mexico
ASV	ASTRAVIA	Astravia-Bissau Air Transports Ltd.	Guinea-Bissau
ASW	AIRSOUTHWEST	Air Southwest Ltd.	Canada
ASX	AIRSPEC	Air Special	Czech Republic
ASY	AUSSIE	Royal Australian Air Force	Australia
ASZ	AIR ASTRAKHAN	Astrakhan Airlines	Russia
ATB	STARLITE	Atlantair Ltd.	Canada
ATC	TANZANIA	Air Tanzania	Tanzania
ATD	AEROTOURS	Aerotours Dominicana	Dominican Republic
ATF	AEROTECNICAS	Compania Aerotecnicas Fotograficas	Spain
ATG	BACHYT	Aerotrans Airline	Kazakhstan
ATH	AIR TRAVEL	Air Travel Corp.	United States
ATJ	SNOOPY	Air Traffic GmbH	Germany
ATK	AEROTACA	AeroTACA	Colombia
ATL	CENTRALMEX	Aerocentral	Mexico
ATM	AIRTAS	Airlines Of Tasmania	Australia
ATN	AIR TRANSPORT	Air Transport International	United States
ATP	ASTRAL	ASTRAL Colombia - Aerotransportes Especiales Ltda.	Colombia
ATQ	MULTI	Air Transport Schiphol	Netherlands
ATR	ATLAS-AIR	Atlas Airlines	United States
ATT	AERTURAS	Aer Turas	Ireland
